provincia_id,provincia
1,STA. CRUZ DE TENERIFE
2,BARCELONA
3,SEVILLA
4,CUENCA
5,ZARAGOZA
6,ILLES BALEARS
7,VALENCIA
8,ZAMORA
9,PALENCIA
10,CASTELLON
11,LAS PALMAS
12,MADRID
13,CANTABRIA
14,GRANADA
15,TERUEL
16,BADAJOZ
17,A CORUÑA
18,ASTURIAS
19,TARRAGONA
20,ALMERIA
21,ALICANTE
22,CADIZ
23,TOLEDO
24,BURGOS
25,GIRONA
26,MALAGA
27,JAEN
28,MURCIA
29,LLEIDA
30,HUESCA
31,ALBACETE
32,NAVARRA
33,CORDOBA
34,OURENSE
35,CIUDAD REAL
36,GIPUZKOA
37,MELILLA
38,LEON
39,CACERES
40,SALAMANCA
41,HUELVA
42,LA RIOJA
43,BIZKAIA
44,GUADALAJARA
45,VALLADOLID
46,ARABA/ALAVA
47,PONTEVEDRA
48,SEGOVIA
49,SORIA
50,AVILA
51,CEUTA
52,LUGO
53,BALEARES
