,SO2,NO,NO2,O3,VEL,DIR,TEM,HUM,PRE,RAD,LLU,PM10,date,estacion,hora
0,0.36,0.31,1.87,74.57,2.36,137.43,16.4,66.51,973.61,0.0,0.0,0.0,2024-11-04 00:10:00,11,00:10
1,0.31,0.2,1.46,77.32,3.07,127.12,16.85,65.19,973.46,0.0,0.0,0.0,2024-11-04 00:10:00,11,00:20
2,0.5,0.18,1.37,77.82,3.05,141.27,17.1,63.26,973.44,0.0,0.0,0.0,2024-11-04 00:10:00,11,00:30
3,0.24,0.27,1.37,79.08,2.92,137.91,17.28,61.8,973.4,0.0,0.0,0.0,2024-11-04 00:10:00,11,00:40
4,0.33,0.17,1.3,78.45,3.18,142.3,17.4,61.01,973.43,0.0,0.0,0.0,2024-11-04 00:10:00,11,00:50
5,0.23,0.17,1.3,77.74,1.78,155.85,17.4,60.89,973.46,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:00
6,0.32,1.36,3.36,58.45,1.0,187.0,17.2,61.3,973.6,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:10
7,0.26,1.33,3.42,70.59,0.8,194.0,17.2,61.8,973.6,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:20
8,0.31,0.71,3.0,48.57,0.6,348.0,16.8,63.9,973.7,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:30
9,0.18,0.78,2.93,52.11,0.5,30.0,16.6,65.0,973.7,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:40
10,0.25,0.4,2.06,61.51,0.8,137.0,16.4,67.0,973.7,0.0,0.0,0.0,2024-11-04 00:10:00,11,01:50
11,0.24,1.42,3.1,57.39,0.8,163.0,16.3,65.8,973.9,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:00
12,0.25,0.76,2.64,55.7,0.72,159.54,16.18,66.41,973.91,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:10
13,0.22,1.32,4.1,58.93,0.91,149.65,16.05,67.61,974.0,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:20
14,0.16,0.26,1.56,70.25,1.24,147.57,16.02,67.12,973.96,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:30
15,0.2,0.24,1.74,68.77,0.94,151.73,16.1,66.53,973.94,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:40
16,0.17,0.29,1.79,66.88,0.93,146.26,16.1,66.45,974.03,0.0,0.0,0.0,2024-11-04 00:10:00,11,02:50
17,0.2,0.4,2.06,63.07,0.83,152.95,16.05,66.85,974.04,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:00
18,0.14,0.32,1.83,70.03,1.32,153.28,15.97,67.52,973.94,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:10
19,0.09,0.16,1.53,70.33,1.85,159.91,15.9,68.14,973.81,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:20
20,0.24,0.17,1.44,73.39,2.17,155.76,15.9,68.3,973.81,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:30
21,0.31,0.24,1.37,73.65,2.04,156.92,15.97,67.43,973.83,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:40
22,0.52,0.24,1.2,74.67,2.12,148.47,16.03,68.67,973.71,0.0,0.0,0.0,2024-11-04 00:10:00,11,03:50
23,0.59,0.25,1.35,72.42,1.56,120.7,16.16,69.55,973.6,0.0,0.0,0.0,2024-11-04 00:10:00,11,04:00
