indicativo_id,indicativo
1,C439J
2,0255B
3,5612B
4,3094B
5,9394X
6,B434X
7,8293X
8,2755X
9,2400E
10,8500A
11,C249I
12,2462
13,9001D
14,5047E
15,9563X
16,9573X
17,4358X
18,1387E
19,1212E
20,0016A
21,C447A
22,9434
23,6293X
24,8050X
25,5972X
26,2235U
27,3260B
28,9051
29,0367
30,6001
31,9981A
32,1331A
33,8489X
34,6084X
35,5246
36,1183X
37,7178I
38,9771C
39,4067
40,3365A
41,9784P
42,0149X
43,5641X
44,6156X
45,C459Z
46,9019B
47,5995B
48,7096B
49,0252D
50,9262
51,1083L
52,1208H
53,5427X
54,6277B
55,1631E
56,1700X
57,9569A
58,C029O
59,2298
60,5514
61,9390
62,4220X
63,7119B
64,1221D
65,9201K
66,1111
67,6325O
68,1014
69,1002Y
70,3111D
71,6058I
72,0324A
73,8325X
74,4148
75,1159
76,6000A
77,4452
78,C659M
79,C629X
80,1283U
81,4244X
82,2630X
83,4410X
84,9263D
85,1690A
86,9898
87,1111X
88,9208E
89,3576X
90,2946X
91,7012C
92,5270B
93,4642E
94,C139E
95,9170
96,1082
97,3168D
98,4560Y
99,4103X
100,7275C
101,9698U
102,1351
103,8414A
104,3200
105,7031
106,9434P
107,1014A
108,B691Y
109,4549Y
110,4267X
111,2737E
112,9111
113,C429I
114,8501
115,2539
116,9091R
117,1059X
118,5181D
119,6302A
120,5860E
121,B013X
122,1484C
123,8175
124,2661
125,3195
126,9263X
127,C229J
128,8416Y
129,5390Y
130,2916A
131,2775X
132,2374X
133,3013
134,1387
135,0372C
136,1735X
137,3434X
138,1473A
139,9244X
140,B228
141,9091O
142,5973
143,3196
144,6155A
145,7247X
146,1041A
147,1475X
148,3130C
149,3191E
150,B278
151,5402
152,9619
153,1495
154,5796
155,7228
156,4511C
157,C659H
158,6106X
159,6205X
160,1078I
161,3526X
162,5910
163,B893
164,0076
165,1024E
166,7002Y
167,1037Y
168,9990X
169,C129Z
170,3338
171,C689E
172,2150H
173,8368U
174,7209
175,1109
176,3044X
177,4147X
178,1210X
179,B346X
180,2465
181,3100B
182,2870
183,C929I
184,C649I
185,2331
186,0200E
187,4090Y
188,1249X
189,5298X
190,3266A
191,5911A
192,3110C
193,5704B
194,9381I
195,8178D
196,1428
197,8177A
198,4386B
199,2117D
200,3519X
201,8309X
202,B248
203,1400
204,5960
205,2614
206,3298X
207,2491C
208,1057B
209,B569X
210,6367B
211,2422
212,5530E
213,B954
214,2867
215,2030
216,8025
217,7031X
218,1207U
219,1050J
220,1393
221,7145D
222,9294E
223,2444
224,4121
225,9585
226,3129
227,8416
228,5000C
229,5582A
230,C329Z
231,1505
232,1249I
233,8019
234,1549
235,8096
236,5783
237,C430E
238,4061X
239,1542
240,3469A
241,B860X
242,B644B
243,B301
244,B496X
245,B103B
246,B780X
247,B760X
248,B236C
249,B362X
250,B087X
251,B614E
252,B334X
253,B605X
254,B275E
255,B410B
256,B158X
257,B640X
258,B691
259,B373X
260,B526X
261,B684A
262,B603X
263,B051A
264,B800X
265,B656A
266,B662X
267,B825B
268,C019V
269,B870C
270,C329B
271,C018J
272,C314Z
273,C117A
274,C316I
275,C248E
276,C419L
277,B986
278,B957
279,B908X
280,C328W
281,C117Z
282,C317B
283,B925
284,C038N
285,C428T
286,C239N
287,C258K
288,C129V
289,C101A
290,C319W
291,C048W
292,C406G
293,C419X
294,C126A
295,C148F
296,C468X
297,C839X
298,C629Q
299,0106X
300,0034X
301,C649R
302,C656V
303,C917E
304,C458A
305,C614H
306,C658L
307,C446G
308,C648N
309,C939T
310,0120X
311,C635B
312,C639U
313,0092X
314,C658X
315,0016B
316,0061X
317,C928I
318,C648C
319,C619Y
320,C611E
321,0009X
322,C628B
323,C639M
324,C625O
325,0066X
326,0042Y
327,C619X
328,0114X
329,C623I
330,C916Q
331,C457I
332,C669B
333,C925F
334,C612F
335,C668V
336,0073X
337,C438N
338,C449F
339,C665T
340,0421X
341,1074C
342,0222X
343,1064L
344,0171X
345,1021X
346,1060X
347,0421E
348,0244X
349,1135C
350,0312X
351,0281Y
352,1044X
353,0341X
354,1010X
355,1048X
356,1037X
357,0321
358,1012P
359,0429X
360,1124E
361,1069Y
362,0433D
363,0194D
364,1056K
365,1025X
366,1038X
367,0370E
368,0360X
369,0260X
370,1096X
371,0294B
372,0158O
373,1167B
374,1109X
375,0158X
376,0413A
377,0411X
378,1154H
379,0284X
380,0363X
381,0349
382,1167G
383,1089U
384,0394X
385,0385X
386,0320I
387,1021Y
388,1025A
389,1078C
390,1033X
391,1052A
392,1026X
393,1049N
394,0341
395,1152C
396,1083B
397,1354C
398,1477V
399,1541B
400,1390X
401,1521X
402,1234P
403,1279X
404,1406X
405,1561I
406,1226X
407,1476R
408,1521I
409,1455I
410,1342X
411,1477U
412,1174I
413,1302F
414,1639X
415,1410X
416,1468X
417,1466A
418,1496X
419,1179B
420,1583X
421,1399
422,1309C
423,1347T
424,1435C
425,1387D
426,1489A
427,1465U
428,1176A
429,1276F
430,1167J
431,1341B
432,1272B
433,1186P
434,1178R
435,1297E
436,1223P
437,1327A
438,1203D
439,1518A
