,name,latitude,longitude,country,state
0,Güímar,28.3150189,-16.4099501,ES,Canary Islands
1,Santa Susanna,41.6357256,2.7065933,ES,Catalonia
2,La Roda de Andalucía,37.2003677,-4.7772857,ES,Andalusia
3,Tarancón,40.0086075,-3.0102243,ES,Castile-La Mancha
4,Calatayud,41.3527628,-1.6422977,ES,Aragon
5,Portocolom,39.4260949,3.2647278,ES,Balearic Islands
6,Xàtiva,38.9880745,-0.5199747,ES,Valencian Community
7,Benavente,42.0032862,-5.6738595,ES,Castile and León
8,Autilla del Pino,41.9911815,-4.6334702,ES,Castile and León
9,Puerto de Navacerrada,40.7888846,-4.0035962,ES,Castile and León
10,Reinosa,43.0010076,-4.1378363,ES,Cantabria
11,Baza,37.4888637,-2.7709805,ES,Andalusia
12,Castellfort,40.5013525,-0.1902038,ES,Valencian Community
13,Alcañiz,41.050254,-0.1329565,ES,Aragon
14,Don Benito,38.9540269,-5.8619466,ES,Extremadura
15,Roquetas de Mar,36.7630203,-2.6115886,ES,Andalusia
16,Xàbia / Jávea,38.7893804,0.1634168,ES,Valencian Community
17,San Fernando,36.4643934,-6.198203,ES,Andalusia
18,Cervera de Pisuerga,42.8635509,-4.4972234,ES,Castile and León
19,Toledo,39.8560679,-4.0239568,ES,Castile-La Mancha
20,Medina de Pomar,42.9322092,-3.4861165,ES,Castile and León
21,Tarifa,36.0129082,-5.6050213,ES,Andalusia
22,Castropol,43.5276581,-7.0300508,ES,Asturias
23,Vilafranca / Villafranca del Cid,40.4270485,-0.2577628,ES,Valencian Community
24,Fuengirola,36.5387779,-4.6233348,ES,Andalusia
25,Santa Elena,38.3402349,-3.5398078,ES,Andalusia
26,Llanes,43.4211205,-4.7530835,ES,Asturias
27,Murcia,37.9923795,-1.1305431,ES,Region of Murcia
28,Lleida,41.6147605,0.6267842,ES,Catalonia
29,Madridejos,39.4697204,-3.5353737,ES,Castile-La Mancha
30,Talavera de la Reina,39.9603798,-4.8311717,ES,Castile-La Mancha
31,Bielsa,42.6335545,0.2188591,ES,Aragon
32,Manresa,41.7288939,1.8286765,ES,Catalonia
33,Écija,37.5406007,-5.079589,ES,Andalusia
34,Puerto de la Cruz,28.4159024,-16.5532956,ES,Canary Islands
35,Vejer de la Frontera,36.251937,-5.9670492,ES,Andalusia
36,Hellín,38.5106649,-1.6995137,ES,Castile-La Mancha
37,Arenys de Mar,41.5797031,2.5491562,ES,Catalonia
38,Pamplona,42.8182536,-1.6440304,ES,Navarre
39,Castro-Urdiales,43.3843347,-3.2162576,ES,Cantabria
40,Doña Mencía,37.5545719,-4.3573672,ES,Andalusia
41,Adra,36.748834,-3.0203617,ES,Andalusia
42,A Pobra de Trives,42.3405898,-7.2547833,ES,Galicia
43,O Carballiño,42.4300046,-8.0780481,ES,Galicia
44,Calanda,40.9391772,-0.2311636,ES,Aragon
45,Palacios de la Sierra,41.9639356,-3.1282384,ES,Castile and León
46,Daroca,41.1133264,-1.4170637,ES,Aragon
47,Puebla de Don Rodrigo,39.0823124,-4.6168415,ES,Castile-La Mancha
48,Caravaca de la Cruz,38.1046979,-1.861118,ES,Region of Murcia
49,Jaca,42.5692515,-0.549372,ES,Aragon
50,Santander,43.4620412,-3.8099719,ES,Cantabria
51,Somosierra,41.133207,-3.581478,ES,Community of Madrid
52,Estepona,36.4268068,-5.1468484,ES,Andalusia
53,Ripoll,42.1982391,2.1932496,ES,Catalonia
54,Polinyà de Xúquer,39.1957935,-0.3698201,ES,Valencian Community
55,Viso del Marqués,38.5217338,-3.5627159,ES,Castile-La Mancha
56,San Vicente de la Barquera,43.38318,-4.40027,ES,Cantabria
57,Melilla,35.2918698,-2.9409026,ES,Melilla
58,Herrera del Duque,39.1676109,-5.0504659,ES,Extremadura
59,Merida,38.9174665,-6.3443977,ES,Extremadura
60,Ourense,42.3436415,-7.8674242,ES,Galicia
61,Aragüés del Puerto,42.7066467,-0.6708726,ES,Aragon
62,Valencia de Alcántara,39.4131571,-7.2420859,ES,Extremadura
63,Saelices el Chico,40.6697675,-6.6334374,ES,Castile and León
64,Cartagena,37.6019353,-0.9841152,ES,Region of Murcia
65,Jaén,37.7728858,-3.7883289,ES,Andalusia
66,Guadalajara,40.6326979,-3.1646067,ES,Castile-La Mancha
67,Alájar,37.8746137,-6.6650601,ES,Andalusia
68,Tomelloso,39.1585549,-3.0214851,ES,Castile-La Mancha
69,Yecla,38.613652,-1.1157373,ES,Region of Murcia
70,Talarn,42.1860349,0.8995312,ES,Catalonia
