nombre_id,nombre
1,GÜÍMAR
2,SANTA SUSANNA
3,LA RODA DE ANDALUCÍA
4,TARANCÓN
5,CALATAYUD
6,PORTOCOLOM  
7,XÀTIVA
8,BENAVENTE
9,AUTILLA DEL PINO
10,CASTELLÓ - ALMASSORA
11,FUERTEVENTURA AEROPUERTO
12,PUERTO DE NAVACERRADA
13,REINOSA
14,BAZA
15,CASTELLFORT
16,ALCAÑIZ
17,DON BENITO
18,A CORUÑA AEROPUERTO
19,ASTURIAS AEROPUERTO
20,REUS AEROPUERTO
21,TENERIFE NORTE AEROPUERTO
22,"ZARAGOZA, AEROPUERTO"
23,ROQUETAS DE MAR
24,JÁVEA/ XÀBIA
25,SAN FERNANDO
26,CERVERA DE PISUERGA
27,TOLEDO
28,MEDINA DE POMAR
29,GIRONA AEROPUERTO
30,TARIFA
31,ESTACIÓN DE TORTOSA (ROQUETES)
32,CASTROPOL
33,VILLAFRANCA DEL CID/VILLAFRANCA
34,FUENGIROLA
35,SANTA ELENA
36,LLANES
37,MURCIA
38,LLEIDA
39,MADRIDEJOS
40,TALAVERA DE LA REINA
41,BIELSA
42,MANRESA
43,ÉCIJA
44,"MÁLAGA, CENTRO METEOROLÓGICO"
45,PUERTO DE LA CRUZ
46,"VALDERREDIBLE, POLIENTES   "
47,VEJER DE LA FRONTERA
48,HELLÍN
49,ARENYS DE MAR
50,PAMPLONA
51,CASTRO URDIALES
52,"GIJÓN, PUERTO"
53,DOÑA MENCÍA
54,ADRA
55,A POBRA DE TRIVES
56,O CARBALLIÑO
57,CALANDA
58,LANZAROTE AEROPUERTO
59,PALACIOS DE LA SIERRA
60,GRANADA BASE AÉREA
61,DAROCA
62,PUEBLA DE DON RODRIGO
63,CARAVACA DE LA CRUZ
64,PAJARES-VALGRANDE
65,JACA
66,SANTANDER
67,ALMERÍA AEROPUERTO
68,"HONDARRIBIA, MALKARROA"
69,"BAZTAN, IRURITA "
70,SOMOSIERRA
71,ESTEPONA
72,RIPOLL
73,POLINYÀ DE XÚQUER
74,VISO DEL MARQUÉS
75,SAN VICENTE DE LA BARQUERA
76,MELILLA
77,BADAJOZ AEROPUERTO
78,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA"
79,"MOGÁN, PUERTO"
80,CABO BUSTO
81,HERRERA DEL DUQUE
82,PUERTO DE SAN ISIDRO
83,MÉRIDA
